title,time,location,tags,url
Marketing and Engagement,1:00 pm – 3:00 pm,713 A,RESEARCH TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728653/?widget=primary
Federated Learning 3,1:00 pm – 3:00 pm,714 A,RESEARCH TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728654/?widget=primary
AI in Sciences,1:00 pm – 3:00 pm,714 B,RESEARCH TRACK,https://kdd2025.kdd.org/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728655/?widget=primary
Graph Learning 4,1:00 pm – 3:00 pm,718 B,RESEARCH TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728656/?widget=primary
Neural Networks,1:00 pm – 3:00 pm,801 A,RESEARCH TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728657/?widget=primary
Machine Learning Drift and Bias Detection,1:00 pm – 3:00 pm,801 B,RESEARCH TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728658/?widget=primary
