title,time,location,tags,url
Boost the Performance of Tabular Data Models with GPU Accelerated Feature Engineering,8:00 am – 11:00 am,711,HANDS-ON TUTORIAL,https://github.com/NVIDIA-Merlin/publications/tree/main/tutorials/KDD2025tutorial
KDD Cup,8:00 am – 12:00 pm,712,KDD CUP,https://kddcup25.github.io/pages/schedule.html
Machine Learning on Graphs in the Era of Artificial General Intelligence,8:00 am – 12:00 pm,715,WORKSHOP,https://mlgraphworkshop.github.io/
Large Language Models (LLMs) for the E-Commerce,8:00 am – 12:00 pm,717,WORKSHOP,https://kdd2025llm4ecommerce.github.io/
A Survey of WebAgents: Towards Next-Generation AI Agents for Web Automation with Large Foundation Models,8:00 am – 11:00 am,713 A,LECTURE-STYLE TUTORIAL,https://biglemon-ning.github.io/WebAgents/
Foundation Models for Spatio-Temporal Data Science: A Tutorial and Survey,8:00 am – 11:00 am,713 B,LECTURE-STYLE TUTORIAL,https://wenhaomin.github.io/FM4ST.github.io/
AdKDD 2025,8:00 am – 12:00 pm,714 A,WORKSHOP,https://www.adkdd.org/
Data Heterogeneity Modeling for Trustworthy Machine Learning,8:00 am – 11:00 am,716 B,LECTURE-STYLE TUTORIAL,https://sites.google.com/view/kdd2025-data-heterogeneity
"Relational Deep Learning: Challenges, Foundations and Next-Generation Architectures",8:00 am – 11:00 am,714 B,LECTURE-STYLE TUTORIAL,https://sites.google.com/view/rdltutorial2025/home
Finance Day,9:50 am – 4:30 pm,716 A,SPECIAL DAY,https://kddfinanceday2025.github.io/
4th Workshop on End-End Customer Journey Optimization,1:00 pm – 5:00 pm,601,WORKSHOP,https://sites.google.com/view/kddcjworkshop2025/home
KDD workshop on Evaluation and Trustworthiness of Agentic and Generative AI: Agentic & GenAI Evaluation KDD2025,1:00 pm – 5:00 pm,602,WORKSHOP,https://kdd-eval-workshop.github.io/genai-evaluation-kdd2025/
KDD 2025 Workshop on Prompt Optimization,1:00 pm – 5:00 pm,603,WORKSHOP,https://kdd-prompt-optimization-workshop.github.io/kdd-2025-prompt-optimization/
SciSoc LLM Workshop: Large Language Models for Scientific and Societal Advances,1:00 pm – 5:00 pm,604,WORKSHOP,https://kdd25scisocllm.github.io/
Finding Repeated Structures in Time Series: Algorithms and Applications,1:00 pm – 4:00 pm,605,LECTURE-STYLE TUTORIAL,https://www.cs.ucr.edu/~eamonn/TimeSeriesMotifs/
Agentic AI for Enterprise: Emerging Applications and Real-world Challenges,1:00 pm – 5:00 pm,703,WORKSHOP,https://sites.google.com/view/kddworkshop2025-agentic-ai/home
Fourth Workshop on Personalization and Recommendations in Search (PaRiS),1:00 pm – 5:00 pm,705,WORKSHOP,https://paris-workshop.github.io/www/index.html
A Hands-on Tutorial on Time Series Imputation with ImputeGAP,1:00 pm – 4:00 pm,707,HANDS-ON TUTORIAL,https://imputegap-tutorials.github.io/KDD-2025/html/index.html
Beyond Input Attribution: A Hands-On Tutorial to Concept-Based Explainable AI and Mechanistic Interpretability,1:00 pm – 4:00 pm,709,HANDS-ON TUTORIAL,https://cxai-mechint-htutorial-kdd2025.github.io/
Practical Guidance and Tutorial on Incentivizing Reasoning in LLMs using Distillation and Reinforcement Learning,1:00 pm – 4:00 pm,711,HANDS-ON TUTORIAL,https://zpqiu.github.io/reasoning-model-tutorial-kdd2025/
